timestamp,ticker,severity,message,regime
2026-04-20 17:51:57.631179,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:51:58.525660,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:51:58.621597,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:56:38.703029,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:56:39.192484,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:56:39.267774,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:57:12.966551,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:57:13.204112,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 17:57:13.393842,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:10:31.422081,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:10:31.508211,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:10:31.609209,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:24:59.880646,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:24:59.979374,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:25:00.077051,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:25:08.467860,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:25:08.567321,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:25:08.659233,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:34:40.551256,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:34:40.651289,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:34:40.743711,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:46:29.455001,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:46:30.297255,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:46:30.390286,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:50:59.485043,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2222 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:50:59.594042,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3044 (>0.05),EXTREME-VOLATILITY
2026-04-20 18:50:59.683040,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3559 (>0.05),EXTREME-VOLATILITY
2026-04-20 19:04:17.778621,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2243 (>0.05),EXTREME-VOLATILITY
2026-04-20 19:04:18.135294,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2997 (>0.05),EXTREME-VOLATILITY
2026-04-20 19:04:18.239766,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3341 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:42:38.573663,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2254 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:42:39.744314,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3035 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:42:39.901298,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3340 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:43:01.174294,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2254 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:43:01.348801,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3034 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:43:01.523332,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3340 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:43:01.698966,AMZN,🟠 HIGH,EXTREME VOLATILITY: 0.3542 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:46:44.540535,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.0750 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:46:44.741381,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.0786 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:46:44.922254,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.0639 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:46:45.103250,AMZN,🟠 HIGH,EXTREME VOLATILITY: 0.0690 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:47:04.093389,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.0750 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:47:04.274819,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.0786 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:47:04.434085,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.0639 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:47:04.600638,AMZN,🟠 HIGH,EXTREME VOLATILITY: 0.0690 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:49:54.476607,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.0750 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:49:54.646301,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.0786 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:49:54.821239,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.0639 (>0.05),EXTREME-VOLATILITY
2026-04-20 23:49:55.003129,AMZN,🟠 HIGH,EXTREME VOLATILITY: 0.0690 (>0.05),EXTREME-VOLATILITY
2026-04-22 12:42:43.709475,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2460 (>0.05),EXTREME-VOLATILITY
2026-04-22 12:42:44.970176,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3056 (>0.05),EXTREME-VOLATILITY
2026-04-22 12:42:45.121447,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3349 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:39:50.029348,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:39:50.356562,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:39:50.508067,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:46:02.212515,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:46:02.397367,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:46:02.536627,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:52:13.953349,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:52:14.128933,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:52:14.255072,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:52:39.473235,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.0772 (>0.05),VOLUME-SPIKE
2026-04-22 13:52:39.612783,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.0659 (>0.05),VOLUME-SPIKE
2026-04-22 13:52:39.768929,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.0613 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:56:27.419865,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.0772 (>0.05),VOLUME-SPIKE
2026-04-22 13:56:27.637298,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.0659 (>0.05),VOLUME-SPIKE
2026-04-22 13:56:27.865587,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.0613 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:57:30.079302,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:57:30.223662,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 13:57:30.365448,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 14:03:53.765509,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 14:03:54.188743,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 14:03:54.397532,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:32:56.614089,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:32:58.605590,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:32:59.126721,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:33:52.645458,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:33:52.882219,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:33:52.987325,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:42:32.429090,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:42:32.578664,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:42:32.702457,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:44:22.868119,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:44:22.984913,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:44:23.130072,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:48:46.415585,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:48:46.572248,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 16:48:46.710463,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:10:42.829918,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2137 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:10:43.076291,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.2851 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:10:43.335800,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3603 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:11:48.145194,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2460 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:11:48.351189,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3056 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:11:48.574056,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3349 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:17:10.304311,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2460 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:17:10.533753,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3056 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:17:10.698504,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3349 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:17:21.313300,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2618 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:17:21.513275,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3509 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:17:21.721659,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3648 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:28:24.253573,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2618 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:28:24.515401,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3509 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:28:24.721352,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3648 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:33:36.896771,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2618 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:33:37.167044,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3509 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:33:37.384304,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3648 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:35:24.485986,AAPL,🟠 HIGH,EXTREME VOLATILITY: 0.2618 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:35:24.683572,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3509 (>0.05),EXTREME-VOLATILITY
2026-04-22 17:35:24.849328,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3648 (>0.05),EXTREME-VOLATILITY
2026-04-22 18:19:09.032374,MSFT,🟠 HIGH,EXTREME VOLATILITY: 0.3056 (>0.05),EXTREME-VOLATILITY
2026-04-22 18:19:09.792094,NVDA,🟠 HIGH,EXTREME VOLATILITY: 0.3349 (>0.05),EXTREME-VOLATILITY
2026-04-22 18:19:22.952810,AAPL,🟡 MEDIUM,VOLUME SPIKE: Z=3.32,VOLUME-SPIKE
2026-04-22 18:19:23.135254,MSFT,🟡 MEDIUM,HIGH VOLATILITY: 0.0313,VOLUME-SPIKE
2026-04-22 18:19:23.310471,NVDA,🟡 MEDIUM,VOLUME SPIKE: Z=3.76,ANOMALY
